Parameter Code,POC,Parameter Name,Duration Description,Date (Local),Year,Day In Year (Local),Units of Measure,Observation Count,Observation Percent,Arithmetic Mean,Nonreg First Maximum Value,First Maximum Value,First Maximum Hour,AQI,Daily Criteria Indicator,Data Source
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-01,2025,1,Micrograms/cubic meter (LC),16,67.0,7.21875,,12.5,19,.,N,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-01,2025,1,Micrograms/cubic meter (25 C),24,100.0,18.175,,34.9,15,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-01,2025,1,Micrograms/cubic meter (25 C),1,100.0,18.0,,18.0,23,17,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-02,2025,2,Micrograms/cubic meter (LC),24,100.0,8.633333,,15.5,7,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-02,2025,2,Micrograms/cubic meter (LC),1,100.0,8.6,,8.6,0,48,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-02,2025,2,Micrograms/cubic meter (LC),1,100.0,8.6,,8.6,0,48,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-02,2025,2,Micrograms/cubic meter (25 C),24,100.0,26.366667,,47.2,17,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-02,2025,2,Micrograms/cubic meter (25 C),1,100.0,26.0,,26.0,23,24,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-03,2025,3,Micrograms/cubic meter (LC),24,100.0,14.870833,,23.5,19,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-03,2025,3,Micrograms/cubic meter (LC),1,100.0,14.8,,14.8,0,62,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-03,2025,3,Micrograms/cubic meter (LC),1,100.0,14.8,,14.8,0,62,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-03,2025,3,Micrograms/cubic meter (25 C),24,100.0,29.908333,,59.8,19,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-03,2025,3,Micrograms/cubic meter (25 C),1,100.0,29.0,,29.0,23,27,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-04,2025,4,Micrograms/cubic meter (LC),24,100.0,9.2625,,13.2,7,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-04,2025,4,Micrograms/cubic meter (LC),1,100.0,9.2,,9.2,0,51,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-04,2025,4,Micrograms/cubic meter (LC),1,100.0,9.2,,9.2,0,51,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-04,2025,4,Micrograms/cubic meter (25 C),24,100.0,17.295833,,24.6,5,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-04,2025,4,Micrograms/cubic meter (25 C),1,100.0,17.0,,17.0,23,16,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-05,2025,5,Micrograms/cubic meter (LC),24,100.0,8.145833,,23.9,21,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-05,2025,5,Micrograms/cubic meter (LC),1,100.0,8.1,,8.1,0,45,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-05,2025,5,Micrograms/cubic meter (LC),1,100.0,8.1,,8.1,0,45,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-05,2025,5,Micrograms/cubic meter (25 C),24,100.0,15.454167,,42.1,21,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-05,2025,5,Micrograms/cubic meter (25 C),1,100.0,15.0,,15.0,23,14,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-06,2025,6,Micrograms/cubic meter (LC),24,100.0,11.204167,,17.3,8,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-06,2025,6,Micrograms/cubic meter (LC),1,100.0,11.2,,11.2,0,55,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-06,2025,6,Micrograms/cubic meter (LC),1,100.0,11.2,,11.2,0,55,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-06,2025,6,Micrograms/cubic meter (25 C),24,100.0,24.0,,45.6,9,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-06,2025,6,Micrograms/cubic meter (25 C),1,100.0,24.0,,24.0,23,22,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-07,2025,7,Micrograms/cubic meter (LC),24,100.0,11.1375,,28.1,21,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-07,2025,7,Micrograms/cubic meter (LC),1,100.0,11.1,,11.1,0,55,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-07,2025,7,Micrograms/cubic meter (LC),1,100.0,11.1,,11.1,0,55,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-07,2025,7,Micrograms/cubic meter (25 C),24,100.0,15.8875,,36.2,21,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-07,2025,7,Micrograms/cubic meter (25 C),1,100.0,15.0,,15.0,23,14,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-08,2025,8,Micrograms/cubic meter (LC),24,100.0,12.079167,,19.5,0,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-08,2025,8,Micrograms/cubic meter (LC),1,100.0,12.0,,12.0,0,56,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-08,2025,8,Micrograms/cubic meter (LC),1,100.0,12.0,,12.0,0,56,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-08,2025,8,Micrograms/cubic meter (25 C),24,100.0,25.9,,35.8,10,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-08,2025,8,Micrograms/cubic meter (25 C),1,100.0,25.0,,25.0,23,23,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-09,2025,9,Micrograms/cubic meter (LC),24,100.0,3.083333,,10.3,0,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-09,2025,9,Micrograms/cubic meter (LC),1,100.0,3.0,,3.0,0,17,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-09,2025,9,Micrograms/cubic meter (LC),1,100.0,3.0,,3.0,0,17,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-09,2025,9,Micrograms/cubic meter (25 C),24,100.0,9.258333,,22.1,0,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-09,2025,9,Micrograms/cubic meter (25 C),1,100.0,9.0,,9.0,23,8,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-10,2025,10,Micrograms/cubic meter (LC),22,92.0,7.781818,,15.9,19,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-10,2025,10,Micrograms/cubic meter (LC),1,100.0,7.7,,7.7,0,43,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-10,2025,10,Micrograms/cubic meter (LC),1,100.0,7.7,,7.7,0,43,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-10,2025,10,Micrograms/cubic meter (25 C),22,92.0,24.095455,,45.0,19,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-10,2025,10,Micrograms/cubic meter (25 C),1,100.0,24.0,,24.0,23,22,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-11,2025,11,Micrograms/cubic meter (LC),24,100.0,3.066667,,10.7,0,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-11,2025,11,Micrograms/cubic meter (LC),1,100.0,3.0,,3.0,0,17,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-11,2025,11,Micrograms/cubic meter (LC),1,100.0,3.0,,3.0,0,17,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-11,2025,11,Micrograms/cubic meter (25 C),24,100.0,9.125,,27.1,0,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-11,2025,11,Micrograms/cubic meter (25 C),1,100.0,9.0,,9.0,23,8,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-12,2025,12,Micrograms/cubic meter (LC),24,100.0,3.8375,,8.5,5,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-12,2025,12,Micrograms/cubic meter (LC),1,100.0,3.8,,3.8,0,21,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-12,2025,12,Micrograms/cubic meter (LC),1,100.0,3.8,,3.8,0,21,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-12,2025,12,Micrograms/cubic meter (25 C),24,100.0,9.55,,17.8,5,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-12,2025,12,Micrograms/cubic meter (25 C),1,100.0,9.0,,9.0,23,8,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-13,2025,13,Micrograms/cubic meter (LC),24,100.0,4.229167,,11.3,8,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-13,2025,13,Micrograms/cubic meter (LC),1,100.0,4.2,,4.2,0,23,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-13,2025,13,Micrograms/cubic meter (LC),1,100.0,4.2,,4.2,0,23,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-13,2025,13,Micrograms/cubic meter (25 C),24,100.0,12.470833,,27.9,8,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-13,2025,13,Micrograms/cubic meter (25 C),1,100.0,12.0,,12.0,23,11,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-14,2025,14,Micrograms/cubic meter (LC),24,100.0,4.345833,,7.1,23,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-14,2025,14,Micrograms/cubic meter (LC),1,100.0,4.3,,4.3,0,24,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-14,2025,14,Micrograms/cubic meter (LC),1,100.0,4.3,,4.3,0,24,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-14,2025,14,Micrograms/cubic meter (25 C),24,100.0,17.041667,,38.4,18,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-14,2025,14,Micrograms/cubic meter (25 C),1,100.0,17.0,,17.0,23,16,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-15,2025,15,Micrograms/cubic meter (LC),24,100.0,6.545833,,17.2,20,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-15,2025,15,Micrograms/cubic meter (LC),1,100.0,6.5,,6.5,0,36,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-15,2025,15,Micrograms/cubic meter (LC),1,100.0,6.5,,6.5,0,36,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-15,2025,15,Micrograms/cubic meter (25 C),24,100.0,28.254167,,64.9,18,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-15,2025,15,Micrograms/cubic meter (25 C),1,100.0,28.0,,28.0,23,26,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-16,2025,16,Micrograms/cubic meter (LC),24,100.0,11.9,,24.3,18,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-16,2025,16,Micrograms/cubic meter (LC),1,100.0,11.9,,11.9,0,56,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-16,2025,16,Micrograms/cubic meter (LC),1,100.0,11.9,,11.9,0,56,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-16,2025,16,Micrograms/cubic meter (25 C),24,100.0,44.2875,,106.7,18,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-16,2025,16,Micrograms/cubic meter (25 C),1,100.0,44.0,,44.0,23,41,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-17,2025,17,Micrograms/cubic meter (LC),24,100.0,7.408333,,20.4,0,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-17,2025,17,Micrograms/cubic meter (LC),1,100.0,7.4,,7.4,0,41,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-17,2025,17,Micrograms/cubic meter (LC),1,100.0,7.4,,7.4,0,41,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-17,2025,17,Micrograms/cubic meter (25 C),24,100.0,36.8875,,144.9,13,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-17,2025,17,Micrograms/cubic meter (25 C),1,100.0,36.0,,36.0,23,33,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-18,2025,18,Micrograms/cubic meter (LC),24,100.0,4.479167,,11.3,22,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-18,2025,18,Micrograms/cubic meter (LC),1,100.0,4.4,,4.4,0,24,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-18,2025,18,Micrograms/cubic meter (LC),1,100.0,4.4,,4.4,0,24,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-18,2025,18,Micrograms/cubic meter (25 C),24,100.0,8.425,,18.2,22,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-18,2025,18,Micrograms/cubic meter (25 C),1,100.0,8.0,,8.0,23,7,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-19,2025,19,Micrograms/cubic meter (LC),24,100.0,10.275,,16.7,18,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-19,2025,19,Micrograms/cubic meter (LC),1,100.0,10.2,,10.2,0,53,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-19,2025,19,Micrograms/cubic meter (LC),1,100.0,10.2,,10.2,0,53,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-19,2025,19,Micrograms/cubic meter (25 C),24,100.0,17.408333,,28.1,18,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-19,2025,19,Micrograms/cubic meter (25 C),1,100.0,17.0,,17.0,23,16,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-20,2025,20,Micrograms/cubic meter (LC),24,100.0,7.15,,26.7,22,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-20,2025,20,Micrograms/cubic meter (LC),1,100.0,7.1,,7.1,0,39,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-20,2025,20,Micrograms/cubic meter (LC),1,100.0,7.1,,7.1,0,39,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-20,2025,20,Micrograms/cubic meter (25 C),24,100.0,12.508333,,35.2,22,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-20,2025,20,Micrograms/cubic meter (25 C),1,100.0,12.0,,12.0,23,11,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-21,2025,21,Micrograms/cubic meter (LC),24,100.0,12.266667,,29.5,14,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-21,2025,21,Micrograms/cubic meter (LC),1,100.0,12.2,,12.2,0,57,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-21,2025,21,Micrograms/cubic meter (LC),1,100.0,12.2,,12.2,0,57,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-21,2025,21,Micrograms/cubic meter (25 C),24,100.0,23.5625,,64.5,14,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-21,2025,21,Micrograms/cubic meter (25 C),1,100.0,23.0,,23.0,23,21,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-22,2025,22,Micrograms/cubic meter (LC),24,100.0,3.170833,,9.1,22,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-22,2025,22,Micrograms/cubic meter (LC),1,100.0,3.1,,3.1,0,17,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-22,2025,22,Micrograms/cubic meter (LC),1,100.0,3.1,,3.1,0,17,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-22,2025,22,Micrograms/cubic meter (25 C),24,100.0,9.733333,,18.1,4,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-22,2025,22,Micrograms/cubic meter (25 C),1,100.0,9.0,,9.0,23,8,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-23,2025,23,Micrograms/cubic meter (LC),24,100.0,6.045833,,12.4,19,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-23,2025,23,Micrograms/cubic meter (LC),1,100.0,6.0,,6.0,0,33,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-23,2025,23,Micrograms/cubic meter (LC),1,100.0,6.0,,6.0,0,33,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-23,2025,23,Micrograms/cubic meter (25 C),24,100.0,19.875,,37.2,19,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-23,2025,23,Micrograms/cubic meter (25 C),1,100.0,19.0,,19.0,23,18,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-24,2025,24,Micrograms/cubic meter (LC),22,92.0,6.518182,,13.4,8,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-24,2025,24,Micrograms/cubic meter (LC),1,100.0,6.5,,6.5,0,36,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-24,2025,24,Micrograms/cubic meter (LC),1,100.0,6.5,,6.5,0,36,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-24,2025,24,Micrograms/cubic meter (25 C),22,92.0,22.813636,,43.9,8,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-24,2025,24,Micrograms/cubic meter (25 C),1,100.0,22.0,,22.0,23,20,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-25,2025,25,Micrograms/cubic meter (LC),24,100.0,3.8375,,7.4,20,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-25,2025,25,Micrograms/cubic meter (LC),1,100.0,3.8,,3.8,0,21,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-25,2025,25,Micrograms/cubic meter (LC),1,100.0,3.8,,3.8,0,21,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-25,2025,25,Micrograms/cubic meter (25 C),24,100.0,6.354167,,10.4,20,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-25,2025,25,Micrograms/cubic meter (25 C),1,100.0,6.0,,6.0,23,6,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-26,2025,26,Micrograms/cubic meter (LC),24,100.0,12.383333,,27.5,20,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-26,2025,26,Micrograms/cubic meter (LC),1,100.0,12.3,,12.3,0,57,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-26,2025,26,Micrograms/cubic meter (LC),1,100.0,12.3,,12.3,0,57,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-26,2025,26,Micrograms/cubic meter (25 C),24,100.0,18.183333,,38.3,20,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-26,2025,26,Micrograms/cubic meter (25 C),1,100.0,18.0,,18.0,23,17,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-27,2025,27,Micrograms/cubic meter (LC),24,100.0,15.845833,,26.6,18,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-27,2025,27,Micrograms/cubic meter (LC),1,100.0,15.8,,15.8,0,63,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-27,2025,27,Micrograms/cubic meter (LC),1,100.0,15.8,,15.8,0,63,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-27,2025,27,Micrograms/cubic meter (25 C),24,100.0,29.745833,,50.3,17,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-27,2025,27,Micrograms/cubic meter (25 C),1,100.0,29.0,,29.0,23,27,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-28,2025,28,Micrograms/cubic meter (LC),24,100.0,12.870833,,29.5,19,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-28,2025,28,Micrograms/cubic meter (LC),1,100.0,12.8,,12.8,0,58,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-28,2025,28,Micrograms/cubic meter (LC),1,100.0,12.8,,12.8,0,58,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-28,2025,28,Micrograms/cubic meter (25 C),24,100.0,36.541667,,97.9,17,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-28,2025,28,Micrograms/cubic meter (25 C),1,100.0,36.0,,36.0,23,33,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-29,2025,29,Micrograms/cubic meter (LC),24,100.0,13.270833,,25.8,19,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-29,2025,29,Micrograms/cubic meter (LC),1,100.0,13.2,,13.2,0,59,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-29,2025,29,Micrograms/cubic meter (LC),1,100.0,13.2,,13.2,0,59,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-29,2025,29,Micrograms/cubic meter (25 C),24,100.0,35.954167,,78.8,10,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-29,2025,29,Micrograms/cubic meter (25 C),1,100.0,35.0,,35.0,23,32,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-01-30,2025,30,Micrograms/cubic meter (LC),22,92.0,8.090909,,14.1,2,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-30,2025,30,Micrograms/cubic meter (LC),1,100.0,8.0,,8.0,0,44,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-01-30,2025,30,Micrograms/cubic meter (LC),1,100.0,8.0,,8.0,0,44,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-01-30,2025,30,Micrograms/cubic meter (25 C),22,92.0,27.259091,,81.9,18,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-01-30,2025,30,Micrograms/cubic meter (25 C),1,100.0,27.0,,27.0,23,25,Y,AQS Data Mart
